pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:CFD_BR1_vic:rail:CFD_EN4_walkway_1","vic:rail:CFD_BR1","vic:rail:CFD_EN4","1","1","72"
"vic:rail:CFD_BR1_vic:rail:CFD_EN6_walkway_1","vic:rail:CFD_BR1","vic:rail:CFD_EN6","1","1","36"
"vic:rail:CFD_KR1_vic:rail:CFD_EN2_walkway_1","vic:rail:CFD_KR1","vic:rail:CFD_EN2","1","1","30"
"vic:rail:CFD_KR1_vic:rail:CFD_EN3_walkway_1","vic:rail:CFD_KR1","vic:rail:CFD_EN3","1","1","66"
"vic:rail:CFD_PR1_vic:rail:CFD_EN2_walkway_1","vic:rail:CFD_PR1","vic:rail:CFD_EN2","1","1","96"
"vic:rail:CFD_PR1_vic:rail:CFD_EN3_walkway_1","vic:rail:CFD_PR1","vic:rail:CFD_EN3","1","1","132"
"vic:rail:CFD_TX1_vic:rail:CFD_EN4_walkway_1","vic:rail:CFD_TX1","vic:rail:CFD_EN4","1","1","18"
"vic:rail:CFD_EN1_vic:rail:CFD_EN3_walkway_1","vic:rail:CFD_EN1","vic:rail:CFD_EN3","1","1","12"
"vic:rail:CFD_EN1_vic:rail:CFD_DP1_walkway_1","vic:rail:CFD_EN1","vic:rail:CFD_DP1","1","1","36"
"vic:rail:CFD_EN2_26135_walkway_1","vic:rail:CFD_EN2","26135","1","1","30"
"vic:rail:CFD_EN2_vic:rail:CFD_DP1_walkway_1","vic:rail:CFD_EN2","vic:rail:CFD_DP1","1","1","30"
"vic:rail:CFD_EN3_22248_walkway_1","vic:rail:CFD_EN3","22248","1","1","300"
"vic:rail:CFD_EN3_26135_walkway_1","vic:rail:CFD_EN3","26135","1","1","66"
"vic:rail:CFD_EN3_vic:rail:CFD_DP2_walkway_1","vic:rail:CFD_EN3","vic:rail:CFD_DP2","1","1","36"
"vic:rail:CFD_EN3_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_EN3","vic:rail:CFD_DP3","1","1","60"
"vic:rail:CFD_EN4_22248_walkway_1","vic:rail:CFD_EN4","22248","1","1","300"
"vic:rail:CFD_EN4_14254_walkway_1","vic:rail:CFD_EN4","14254","1","1","18"
"vic:rail:CFD_EN4_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_EN4","vic:rail:CFD_DP3","1","1","48"
"vic:rail:CFD_EN5_14254_stairs_1","vic:rail:CFD_EN5","14254","2","1","6"
"vic:rail:CFD_EN6_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_EN6","vic:rail:CFD_DP3","1","1","36"
"vic:rail:CFD_DP1_14251_walkway_1","vic:rail:CFD_DP1","14251","1","1","12"
"vic:rail:CFD_DP2_vic:rail:CFD_DP3_walkway_1","vic:rail:CFD_DP2","vic:rail:CFD_DP3","1","1","30"
"vic:rail:CFD_DP2_vic:rail:CFD_DP4_walkway_1","vic:rail:CFD_DP2","vic:rail:CFD_DP4","1","1","72"
"vic:rail:CFD_DP4_14252_fare_gate_0","vic:rail:CFD_DP4","14252","6","0","12"
"14252_vic:rail:CFD_DP4_exit_gate_0","14252","vic:rail:CFD_DP4","7","0","12"
"vic:rail:CFD_DP4_14253_fare_gate_0","vic:rail:CFD_DP4","14253","6","0","12"
"14253_vic:rail:CFD_DP4_exit_gate_0","14253","vic:rail:CFD_DP4","7","0","12"
"14251_22248_walkway_1","14251","22248","1","1","420"
"14252_22248_walkway_1","14252","22248","1","1","420"
"14253_22248_walkway_1","14253","22248","1","1","420"
"14254_22248_walkway_1","14254","22248","1","1","420"
"14252_14253_fare_gate_0","14252","14253","6","0","60"
"vic:rail:CLA_PR1_vic:rail:CLA_EN1_walkway_1","vic:rail:CLA_PR1","vic:rail:CLA_EN1","1","1","336"
"vic:rail:CLA_BR1_vic:rail:CLA_EN1_walkway_1","vic:rail:CLA_BR1","vic:rail:CLA_EN1","1","1","90"
"vic:rail:CLA_EN1_26139_walkway_1","vic:rail:CLA_EN1","26139","1","1","60"
"vic:rail:CLA_EN1_vic:rail:CLA_DP1_walkway_1","vic:rail:CLA_EN1","vic:rail:CLA_DP1","1","1","30"
"vic:rail:CLA_EN1_vic:rail:CLA_LI1_walkway_1","vic:rail:CLA_EN1","vic:rail:CLA_LI1","1","1","36"
"vic:rail:CLA_DP1_22249_stairs_1","vic:rail:CLA_DP1","22249","2","1","84"
"vic:rail:CLA_DP1_22249_escalator_1","vic:rail:CLA_DP1","22249","4","1","36"
"vic:rail:CLA_DP1_13718_stairs_1","vic:rail:CLA_DP1","13718","2","1","84"
"vic:rail:CLA_DP1_13719_stairs_1","vic:rail:CLA_DP1","13719","2","1","84"
"vic:rail:CLA_DP1_13718_escalator_1","vic:rail:CLA_DP1","13718","4","1","36"
"vic:rail:CLA_DP1_13719_escalator_1","vic:rail:CLA_DP1","13719","4","1","36"
"vic:rail:CLA_LI1_22249_elevator_1","vic:rail:CLA_LI1","22249","5","1","60"
"vic:rail:CLA_LI1_13718_elevator_1","vic:rail:CLA_LI1","13718","5","1","60"
"vic:rail:CLA_LI1_13719_elevator_1","vic:rail:CLA_LI1","13719","5","1","60"
"13718_22249_walkway_1","13718","22249","1","1","60"
"13719_22249_walkway_1","13719","22249","1","1","60"
"13718_13719_walkway_1","13718","13719","1","1","60"
"vic:rail:CGB_PR1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_PR1","vic:rail:CGB_EN3","1","1","162"
"vic:rail:CGB_PR1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_PR1","vic:rail:CGB_EN1","1","1","60"
"vic:rail:CGB_PR1_vic:rail:CGB_EN2_walkway_1","vic:rail:CGB_PR1","vic:rail:CGB_EN2","1","1","48"
"vic:rail:CGB_PR2_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_PR2","vic:rail:CGB_EN3","1","1","612"
"vic:rail:CGB_PR2_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_PR2","vic:rail:CGB_EN1","1","1","702"
"vic:rail:CGB_BR1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_BR1","vic:rail:CGB_EN3","1","1","138"
"vic:rail:CGB_BR1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_BR1","vic:rail:CGB_EN1","1","1","36"
"vic:rail:CGB_BR1_vic:rail:CGB_EN2_walkway_1","vic:rail:CGB_BR1","vic:rail:CGB_EN2","1","1","48"
"vic:rail:CGB_TX1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_TX1","vic:rail:CGB_EN3","1","1","90"
"vic:rail:CGB_TX1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_TX1","vic:rail:CGB_EN1","1","1","12"
"vic:rail:CGB_KR1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_KR1","vic:rail:CGB_EN3","1","1","138"
"vic:rail:CGB_KR1_vic:rail:CGB_EN1_walkway_1","vic:rail:CGB_KR1","vic:rail:CGB_EN1","1","1","30"
"vic:rail:CGB_KR1_vic:rail:CGB_EN2_walkway_1","vic:rail:CGB_KR1","vic:rail:CGB_EN2","1","1","18"
"vic:rail:CGB_EN1_vic:rail:CGB_EN3_walkway_1","vic:rail:CGB_EN1","vic:rail:CGB_EN3","1","1","120"
"vic:rail:CGB_EN1_26144_walkway_1","vic:rail:CGB_EN1","26144","1","1","78"
"vic:rail:CGB_EN1_vic:rail:CGB_DP1_stairs_1","vic:rail:CGB_EN1","vic:rail:CGB_DP1","2","1","6"
"vic:rail:CGB_EN1_vic:rail:CGB_DP1_walkway_1","vic:rail:CGB_EN1","vic:rail:CGB_DP1","1","1","54"
"vic:rail:CGB_EN2_vic:rail:CGB_DP2_stairs_1","vic:rail:CGB_EN2","vic:rail:CGB_DP2","2","1","6"
"vic:rail:CGB_EN3_26144_walkway_1","vic:rail:CGB_EN3","26144","1","1","120"
"vic:rail:CGB_EN3_15527_walkway_1","vic:rail:CGB_EN3","15527","1","1","48"
"vic:rail:CGB_DP1_20029_walkway_1","vic:rail:CGB_DP1","20029","1","1","24"
